"filename", "language", "Dart", "YAML", "Firebase Rules", "HTML", "JSON", "Markdown", "Gradle", "Properties", "XML", "comment", "blank", "total"
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\habits\presentation\widgets\progress_ring.dart", "Dart", 192, 0, 0, 0, 0, 0, 0, 0, 0, 8, 23, 223
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\profile\presentation\screens\profile_screen.dart", "Dart", 298, 0, 0, 0, 0, 0, 0, 0, 0, 13, 19, 330
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\social\presentation\screens\social_screen.dart", "Dart", 86, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 92
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\statistics\presentation\screens\statistics_screen.dart", "Dart", 447, 0, 0, 0, 0, 0, 0, 0, 0, 8, 30, 485
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\generated\intl\messages_all.dart", "Dart", 44, 0, 0, 0, 0, 0, 0, 0, 0, 10, 10, 64
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\generated\intl\messages_en.dart", "Dart", 9, 0, 0, 0, 0, 0, 0, 0, 0, 10, 7, 26
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\generated\l10n.dart", "Dart", 56, 0, 0, 0, 0, 0, 0, 0, 0, 8, 15, 79
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\l10n\app_en.arb", "JSON", 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 4, 72
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\l10n\app_localizations.dart", "Dart", 119, 0, 0, 0, 0, 0, 0, 0, 0, 324, 81, 524
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\l10n\app_localizations_en.dart", "Dart", 135, 0, 0, 0, 0, 0, 0, 0, 0, 3, 68, 206
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\l10n\app_localizations_tr.dart", "Dart", 135, 0, 0, 0, 0, 0, 0, 0, 0, 3, 68, 206
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\l10n\app_tr.arb", "JSON", 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 68
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\main.dart", "Dart", 40, 0, 0, 0, 0, 0, 0, 0, 0, 4, 9, 53
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\shared\models\result.dart", "Dart", 21, 0, 0, 0, 0, 0, 0, 0, 0, 4, 9, 34
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\shared\widgets\custom_button.dart", "Dart", 63, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 72
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\shared\widgets\custom_text_field.dart", "Dart", 95, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 105
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\shared\widgets\error_widget.dart", "Dart", 111, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8, 121
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\shared\widgets\loading_indicator.dart", "Dart", 56, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7, 65
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\pubspec.yaml", "YAML", 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 7, 55
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\storage.rules", "Firebase Rules", 0, 0, 65, 0, 0, 0, 0, 0, 0, 60, 24, 149
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\test\widget_test.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\web\index.html", "HTML", 0, 0, 0, 38, 0, 0, 0, 0, 0, 16, 5, 59
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\web\manifest.json", "JSON", 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 35
"Total", "-", 9873, 184, 179, 38, 314, 707, 119, 12, 64, 1336, 1696, 14522
