"filename", "language", "Dart", "Markdown", "JSON", "YAML", "Firebase Rules", "HTML", "Properties", "Gradle", "XML", "comment", "blank", "total"
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\core\utils\validators.dart", "Dart", 81, 0, 0, 0, 0, 0, 0, 0, 0, 9, 20, 110
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\core\widgets\initial_sync_dialog.dart", "Dart", 129, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12, 143
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\core\widgets\sync_indicator.dart", "Dart", 212, 0, 0, 0, 0, 0, 0, 0, 0, 2, 22, 236
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\achievements\data\models\achievement_model.dart", "Dart", 58, 0, 0, 0, 0, 0, 0, 0, 0, 5, 7, 70
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\achievements\data\services\achievement_service.dart", "Dart", 171, 0, 0, 0, 0, 0, 0, 0, 0, 14, 26, 211
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\achievements\domain\entities\achievement.dart", "Dart", 115, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10, 128
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\achievements\presentation\providers\achievement_provider.dart", "Dart", 95, 0, 0, 0, 0, 0, 0, 0, 0, 9, 16, 120
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\achievements\presentation\widgets\achievement_unlocked_dialog.dart", "Dart", 128, 0, 0, 0, 0, 0, 0, 0, 0, 6, 16, 150
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\achievements\presentation\widgets\badge_widget.dart", "Dart", 109, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 119
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\auth\data\datasources\auth_local_datasource.dart", "Dart", 77, 0, 0, 0, 0, 0, 0, 0, 0, 12, 17, 106
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\auth\data\datasources\auth_remote_datasource.dart", "Dart", 185, 0, 0, 0, 0, 0, 0, 0, 0, 35, 41, 261
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\auth\data\models\user_model.dart", "Dart", 77, 0, 0, 0, 0, 0, 0, 0, 0, 9, 8, 94
